order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,quantity,discount,sale_price,profit,month
15,09-11-2023,unknown,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,OFF-AP-10002311,60,5,3.5,66.5,6.5,2023-11
16,18-06-2022,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,0,3,0,0,0,2022-06
17,04-02-2022,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,610,6,20.1,649.9,39.89999999999998,2022-02
18,04-08-2023,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,60,2,2.4,57.6,-2.4,2023-08
19,23-01-2022,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,10,2,0.4,9.6,-0.4,2022-01
20,11-01-2022,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170,3,6.3,203.7,33.69999999999999,2022-01
21,05-10-2022,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,20,4,0.4,19.6,-0.4,2022-10
22,16-07-2023,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20,7,0.8,19.2,-0.8,2023-07
23,06-05-2023,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,7,1.8,58.2,8.200000000000003,2023-05
24,21-05-2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,2,2.8,67.2,7.200000000000003,2023-05
25,24-02-2023,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,3,52,988,88,2023-02
26,20-06-2022,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,2,0.5,9.5,-0.5,2022-06
27,08-02-2022,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,3,2.7,87.3,7.299999999999997,2022-02
28,11-12-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,7,92.4,2987.6,247.5999999999999,2023-12
29,21-08-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,2,0.5,9.5,-0.5,2022-08
30,14-08-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,3,4.8,115.2,15.200000000000003,2022-08
31,20-11-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,0,2,0,0,0,2022-11
32,19-01-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,6,3.6,86.4,16.400000000000006,2023-01
33,30-01-2023,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,6,0.5,9.5,-0.5,2023-01
34,03-06-2022,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,2,0.8,19.2,-0.8,2022-06
35,28-09-2022,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,3,0.9,29.1,-0.9,2022-09
36,30-10-2022,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,7,55,1045,25,2022-10
37,27-07-2023,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,5,7.6,182.4,2.4000000000000057,2023-07
38,07-03-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,9,2.2,107.8,17.799999999999997,2023-03
39,18-08-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,3,10.6,519.4,59.39999999999998,2023-08
40,20-01-2022,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,3,4.2,205.8,5.800000000000011,2022-01
41,29-06-2023,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,4,18.5,351.5,1.5,2023-06
42,28-06-2022,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,4,4.5,145.5,5.5,2022-06
43,09-02-2023,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,2,4,76,6,2023-02
44,18-09-2023,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,2,4,96,6,2023-09
45,11-11-2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,2,1,49,9,2022-11
46,27-05-2022,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,2,1,19,-1,2022-05
47,03-02-2023,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,180,4,8.4,201.6,21.599999999999994,2023-02
48,16-02-2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,50,3,2.5,47.5,-2.5,2022-02
49,06-05-2022,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,20,2,0.8,19.2,-0.8,2022-05
50,18-06-2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,30,6,1.6,38.4,8.399999999999999,2023-06
51,11-01-2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,70,6,3.2,76.8,6.799999999999997,2022-01
52,09-09-2023,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,10,2,0.4,9.6,-0.4,2023-09
53,31-01-2022,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,70,1,4.5,85.5,15.5,2022-01
54,30-07-2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,20,7,0.6,19.4,-0.6,2023-07
55,17-10-2023,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,850,5,41.2,988.8,138.79999999999995,2023-10
56,06-07-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,200,6,10.5,199.5,-0.5,2023-07
57,15-09-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,30,5,1.5,28.5,-1.5,2023-09
58,09-08-2022,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,290,5,6.4,313.6,23.600000000000023,2022-08
59,05-04-2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,10,2,0.4,9.6,-0.4,2022-04
60,24-06-2023,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,20,2,1.5,28.5,8.5,2023-06
61,10-03-2022,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,40,4,1,49,9,2022-03
62,08-04-2023,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,0,1,0,0,0,2023-04
63,16-10-2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,10,2,0.3,9.7,-0.3,2023-10
64,02-08-2023,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,20,6,0.6,29.4,9.399999999999999,2023-08
65,05-11-2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,130,3,7.5,142.5,12.5,2022-11
66,06-05-2022,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,70,4,1.6,78.4,8.400000000000006,2022-05
67,26-03-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,180,5,10.5,199.5,19.5,2022-03
68,10-04-2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,940,8,33.3,1076.7,136.70000000000005,2022-04
69,12-08-2022,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,160,4,5.1,164.9,4.900000000000006,2022-08
70,25-02-2022,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,70,2,1.6,78.4,8.400000000000006,2022-02
71,29-11-2022,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,0,1,0,0,0,2022-11
72,18-12-2022,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,20,3,0.6,19.4,-0.6,2022-12
73,07-03-2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,790,8,16.6,813.4,23.399999999999977,2023-03
74,12-07-2023,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,90,2,3,97,7,2023-07
75,21-10-2022,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,60,1,1.4,68.6,8.599999999999994,2022-10
76,17-04-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,0,3,0,0,0,2023-04
77,20-05-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,10,3,0.4,9.6,-0.4,2023-05
78,13-05-2023,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,20,3,0.6,29.4,9.399999999999999,2023-05
79,20-10-2022,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,20,5,0.4,19.6,-0.4,2022-10
80,22-10-2023,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,190,1,6.3,203.7,13.699999999999989,2023-10
81,20-07-2022,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,20,3,0.4,19.6,-0.4,2022-07
82,16-11-2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,10,5,0.5,9.5,-0.5,2022-11
83,10-11-2022,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,20,1,0.8,19.2,-0.8,2022-11
84,15-03-2022,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,180,7,6,194,14,2022-03
85,03-10-2023,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,210,3,4.6,225.4,15.400000000000006,2023-10
86,20-03-2022,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,260,2,15,285,25,2022-03
87,04-12-2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,20,1,1,19,-1,2023-12
88,24-11-2023,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,10,2,0.5,9.5,-0.5,2023-11
89,30-12-2023,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,140,7,8,152,12,2023-12
90,23-05-2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,20,3,0.4,19.6,-0.4,2022-05
91,06-04-2023,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,60,2,1.4,68.6,8.599999999999994,2023-04
92,23-03-2022,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,10,1,0.2,9.8,-0.2,2022-03
93,07-04-2023,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,10,2,0.2,9.8,-0.2,2023-04
94,13-05-2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,50,3,2.5,47.5,-2.5,2022-05
95,23-04-2022,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,20,2,0.9,29.1,9.100000000000001,2022-04
96,17-12-2023,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,10,1,0.2,9.8,-0.2,2023-12
97,28-04-2022,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,80,7,5,95,15,2022-04
98,14-06-2023,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,40,3,2,48,8,2023-06
99,05-02-2023,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,70,6,2.4,77.6,7.599999999999994,2023-02
100,30-12-2023,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,60,7,1.8,58.2,-1.8,2023-12
101,24-02-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,80,3,5,95,15,2022-02
102,25-07-2022,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,0,3,0,0,0,2022-07
103,14-01-2022,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,20,4,0.8,19.2,-0.8,2022-01
104,22-12-2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,220,6,7.2,232.8,12.800000000000011,2022-12
105,09-06-2022,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,90,3,5,95,5,2022-06
106,28-10-2023,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,30,3,2,38,8,2023-10
107,18-10-2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,60,8,3.5,66.5,6.5,2022-10
108,23-11-2022,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,30,1,0.9,29.1,-0.9,2022-11
109,12-10-2023,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,0,1,0,0,0,2023-10
110,17-03-2023,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,290,5,6.8,333.2,43.19999999999999,2023-03
111,05-09-2023,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,30,2,0.8,39.2,9.200000000000003,2023-09
112,28-01-2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,70,2,2.4,77.6,7.599999999999994,2022-01
113,26-12-2022,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,30,6,0.9,29.1,-0.9,2022-12
114,06-06-2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,40,14,0.8,39.2,-0.8,2023-06
115,08-11-2023,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,0,2,0,0,0,2023-11
116,15-11-2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,20,3,0.8,19.2,-0.8,2022-11
117,30-06-2022,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,120,6,6.5,123.5,3.5,2022-06
118,27-10-2023,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,720,3,31.6,758.4,38.39999999999998,2023-10
119,19-07-2023,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,140,1,8,152,12,2023-07
120,30-03-2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,50,3,1.5,48.5,-1.5,2023-03
121,03-03-2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,20,4,0.6,29.4,9.399999999999999,2022-03
122,20-10-2022,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,190,6,4.6,225.4,35.400000000000006,2022-10
123,23-01-2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,110,9,4.8,115.2,5.200000000000003,2023-01
124,21-01-2023,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,60,7,1.4,68.6,8.599999999999994,2023-01
125,18-07-2023,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,550,3,18,582,32,2023-07
126,15-07-2023,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,540,6,24.8,595.2,55.200000000000045,2023-07
127,14-07-2022,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,0,2,0,0,0,2022-07
128,30-03-2023,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,200,7,9.6,230.4,30.400000000000006,2023-03
129,18-09-2023,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,70,2,1.6,78.4,8.400000000000006,2023-09
130,03-01-2022,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,220,3,9.6,230.4,10.400000000000006,2022-01
131,17-07-2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,50,5,1.8,58.2,8.200000000000003,2022-07
132,30-03-2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,80,2,3.2,76.8,-3.2,2022-03
133,01-05-2022,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,20,9,1,19,-1,2022-05
134,29-04-2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,20,3,0.8,19.2,-0.8,2023-04
135,28-10-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,30,1,2,38,8,2022-10
136,05-03-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,10,4,0.5,9.5,-0.5,2022-03
137,28-03-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,0,2,0,0,0,2022-03
138,16-10-2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,70,3,1.6,78.4,8.400000000000006,2023-10
139,15-05-2022,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,60,6,3.5,66.5,6.5,2022-05
140,06-06-2023,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,40,14,0.8,39.2,-0.8,2023-06
141,10-06-2022,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,60,2,1.6,78.4,18.400000000000006,2022-06
142,22-07-2022,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,10,3,0.3,9.7,-0.3,2022-07
143,27-12-2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,10,3,0.2,9.8,-0.2,2023-12
144,29-11-2023,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,130,3,7,133,3,2023-11
145,19-03-2022,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,780,3,16.8,823.2,43.200000000000045,2022-03
146,04-06-2023,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,600,7,20.1,649.9,49.89999999999998,2023-06
147,31-05-2023,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,80,4,3.6,86.4,6.400000000000006,2023-05
148,12-06-2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,350,11,15.2,364.8,14.800000000000011,2022-06
149,18-05-2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,140,3,7.5,142.5,2.5,2022-05
150,23-01-2022,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,1580,8,58.5,1891.5,311.5,2022-01
151,21-08-2023,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,150,5,6.8,163.2,13.199999999999989,2023-08
152,31-08-2023,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,140,5,8,152,12,2023-08
153,25-10-2022,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,160,2,4,196,36,2022-10
154,07-10-2022,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,50,7,2.4,57.6,7.600000000000001,2022-10
155,25-03-2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,100,4,4.4,105.6,5.599999999999994,2023-03
156,27-03-2023,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,60,6,3.2,76.8,16.799999999999997,2023-03
157,03-05-2022,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,10,3,0.3,9.7,-0.3,2022-05
158,18-05-2022,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,380,2,9.2,450.8,70.80000000000001,2022-05
159,25-04-2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,10,2,0.3,9.7,-0.3,2022-04
160,30-06-2022,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,870,7,47,893,23,2022-06
161,10-01-2022,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,10,1,0.4,9.6,-0.4,2022-01
162,27-11-2023,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,40,2,2.5,47.5,7.5,2023-11
163,16-02-2022,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,30,5,1.2,28.8,-1.2,2022-02
164,14-08-2022,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,20,2,0.9,29.1,9.100000000000001,2022-08
165,14-10-2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,10,3,0.5,9.5,-0.5,2023-10
166,16-10-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,6850,8,326.4,7833.6,983.6000000000004,2022-10
167,20-11-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,250,3,11.2,268.8,18.80000000000001,2022-11
168,04-11-2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,1620,9,69.6,1670.4,50.40000000000009,2023-11
169,16-06-2023,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,30,6,1.2,28.8,-1.2,2023-06
170,20-10-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,150,5,3.6,176.4,26.400000000000006,2022-10
171,12-07-2022,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,120,3,7,133,13,2022-07
